Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
14184	14185	b0038	b0039	caiB	caiA	TRUE	0.729	129.000	0.529	1.000	N	0.543
14185	14186	b0039	b0040	caiA	caiT	TRUE	0.840	31.000	0.118	1.000	N	0.423
14187	14188	b0041	b0042	fixA	fixB	TRUE	0.990	15.000	0.231	0.023	Y	0.457
14188	14189	b0042	b0043	fixB	fixC	TRUE	0.929	51.000	0.000	0.069	Y	0.515
14189	14190	b0043	b0044	fixC	fixX	TRUE	0.989	-3.000	0.167	0.069	Y	0.410
14190	14191	b0044	b0045	fixX	yaaU	FALSE	0.293	57.000	0.000	1.000	N	0.311
14191	14192	b0045	b0046	yaaU	kefF	FALSE	0.007	108.000	0.000	1.000		0.149
14192	14193	b0046	b0047	kefF	kefC	TRUE	0.953	-7.000	0.560	1.000		0.268
14193	14194	b0047	b0048	kefC	folA	FALSE	0.003	192.000	0.012	1.000	N	-0.001
14195	14196	b0049	b0050	apaH	apaG	TRUE	0.987	7.000	0.267	NA	N	0.566
14196	14197	b0050	b0051	apaG	ksgA	TRUE	0.988	3.000	0.078	NA	N	0.779
14197	14198	b0051	b0052	ksgA	pdxA	TRUE	0.983	-3.000	0.197	1.000	N	0.565
14198	14199	b0052	b0053	pdxA	surA	TRUE	0.994	0.000	0.561	1.000	N	0.594
14199	14200	b0053	b0054	surA	imp	TRUE	0.858	53.000	0.182	1.000	N	0.566
14201	3446137	b0055	b4659	djlA	yabP	FALSE	0.062	295.000	0.000	NA		0.402
14204	14205	b0058	b0059	rluA	hepA	TRUE	0.988	12.000	0.294	1.000	N	0.622
14205	14206	b0059	b0060	hepA	polB	FALSE	0.362	165.000	0.098	0.074	Y	0.243
14206	14207	b0060	b0061	polB	araD	FALSE	0.270	75.000	0.018	1.000	N	0.372
14207	14208	b0061	b0062	araD	araA	FALSE	0.514	285.000	0.017	1.000	Y	0.816
14208	14209	b0062	b0063	araA	araB	TRUE	0.989	11.000	0.138	1.000	N	0.908
14210	14211	b0064	b0065	araC	yabI	FALSE	0.119	86.000	0.167	NA		0.173
14212	14213	b0066	b0067	thiQ	thiP	TRUE	0.990	-16.000	0.522	0.018	N	0.575
14213	14214	b0067	b0068	thiP	tbpA	TRUE	0.993	-24.000	0.697	0.083	N	0.673
14214	14215	b0068	b0069	tbpA	sgrR	FALSE	0.036	164.000	0.010	0.083		0.154
1936206	7497338	b4577	b4662	sgrS	sgrT	TRUE	0.683	-152.000	0.000	NA		NA
7497338	1936207	b4662	b0070	sgrT	setA	FALSE	0.428	102.000	0.357	NA		NA
14217	14218	b0071	b0072	leuD	leuC	TRUE	0.998	11.000	0.309	0.001	Y	0.875
14218	14219	b0072	b0073	leuC	leuB	TRUE	0.999	3.000	0.275	0.002	Y	0.905
14219	14220	b0073	b0074	leuB	leuA	TRUE	0.998	0.000	0.126	0.002	Y	0.870
14220	14221	b0074	b0075	leuA	leuL	TRUE	0.659	93.000	0.010	0.002		0.532
14222	1936210	b0076	b0077	leuO	ilvI	FALSE	0.001	318.000	0.000	1.000	N	0.144
1936210	14224	b0077	b0078	ilvI	ilvH	TRUE	0.998	3.000	0.371	0.002	Y	0.663
14224	14226	b0078	b0080	ilvH	fruR	FALSE	0.003	180.000	0.063	1.000	N	-0.007
14226	14227	b0080	b0081	fruR	mraZ	FALSE	0.008	602.000	0.000	NA		0.260
14227	14228	b0081	b0082	mraZ	mraW	TRUE	0.997	2.000	0.635	NA		0.789
14228	14229	b0082	b0083	mraW	ftsL	TRUE	0.990	-3.000	0.227	1.000	N	0.735
14229	14230	b0083	b0084	ftsL	ftsI	TRUE	0.826	16.000	0.124	1.000	N	0.293
14230	14231	b0084	b0085	ftsI	murE	TRUE	0.973	-13.000	0.059	1.000	Y	0.463
14231	14232	b0085	b0086	murE	murF	TRUE	0.999	-3.000	0.569	0.002	Y	0.772
14232	14233	b0086	b0087	murF	mraY	TRUE	0.996	-6.000	0.309	0.005	Y	0.562
14233	14234	b0087	b0088	mraY	murD	TRUE	0.999	3.000	0.647	0.005	Y	0.638
14234	14235	b0088	b0089	murD	ftsW	TRUE	0.995	0.000	0.297	0.003	N	0.634
14235	14236	b0089	b0090	ftsW	murG	TRUE	0.995	-3.000	0.647	1.000	N	0.643
14236	14237	b0090	b0091	murG	murC	TRUE	0.946	54.000	0.283	1.000	Y	0.544
14237	14238	b0091	b0092	murC	ddlB	TRUE	0.980	-7.000	0.153	0.005	Y	0.336
14238	14239	b0092	b0093	ddlB	ftsQ	TRUE	0.997	2.000	0.372	NA	Y	0.613
14239	14240	b0093	b0094	ftsQ	ftsA	TRUE	0.993	-3.000	0.389	NA	N	0.740
14240	14241	b0094	b0095	ftsA	ftsZ	TRUE	0.966	61.000	0.460	1.000	Y	0.718
14241	14242	b0095	b0096	ftsZ	lpxC	FALSE	0.360	101.000	0.134	1.000	N	0.398
14242	14243	b0096	b0097	lpxC	yacA	FALSE	0.005	231.000	0.000	1.000		0.193
14243	14244	b0097	b0098	yacA	secA	TRUE	0.778	62.000	0.065	1.000		0.620
14244	14245	b0098	b0099	secA	mutT	TRUE	0.637	60.000	0.168	1.000	N	0.418
14247	14248	b0101	b0102	yacG	yacF	TRUE	0.965	10.000	0.356	NA		0.354
14248	14249	b0102	b0103	yacF	coaE	TRUE	0.987	0.000	0.110	NA		0.682
14252	14253	b0106	b0107	hofC	hofB	TRUE	0.993	-10.000	0.571	1.000	Y	0.502
14253	14254	b0107	b0108	hofB	ppdD	TRUE	0.989	10.000	0.556	NA	Y	0.319
14254	14255	b0108	b0109	ppdD	nadC	FALSE	0.003	203.000	0.015	NA	N	-0.005
14256	14257	b0110	b0111	ampD	ampE	TRUE	0.989	-3.000	0.249	1.000	Y	0.428
14259	14260	b0113	b0114	pdhR	aceE	FALSE	0.553	161.000	0.276	1.000	N	0.565
14260	14261	b0114	b0115	aceE	aceF	TRUE	0.995	15.000	0.220	1.000	Y	0.916
14261	14262	b0115	b0116	aceF	lpd	TRUE	0.671	325.000	0.463	1.000	Y	0.681
14264	14265	b0118	b0119	acnB	yacL	FALSE	0.003	176.000	0.068	NA		-0.145
14266	14267	b0120	b0121	speD	speE	TRUE	0.994	16.000	0.162	1.000	Y	0.901
14267	14268	b0121	b0122	speE	yacC	FALSE	0.360	106.000	0.354	NA		0.287
14273	14274	b0127	b0128	yadG	yadH	TRUE	0.993	-3.000	0.688	1.000	Y	0.365
14274	14275	b0128	b0129	yadH	yadI	FALSE	0.102	105.000	0.037	1.000	N	0.288
14275	14276	b0129	b0130	yadI	yadE	TRUE	0.758	64.000	0.222	1.000	Y	0.320
14279	14280	b0133	b0134	panC	panB	TRUE	0.998	12.000	0.395	0.001	Y	0.703
14280	14281	b0134	b0135	panB	yadC	FALSE	0.006	114.000	0.000	1.000	N	-0.202
14281	14282	b0135	b0136	yadC	yadK	TRUE	0.904	50.000	0.000	0.011	Y	0.429
14282	14283	b0136	b0137	yadK	yadL	TRUE	0.986	27.000	0.571	0.011		0.574
14283	14284	b0137	b0138	yadL	yadM	TRUE	0.995	12.000	0.571	0.011		0.587
14284	14285	b0138	b0139	yadM	htrE	TRUE	0.982	17.000	0.571	1.000	Y	0.309
14285	14286	b0139	b0140	htrE	ecpD	TRUE	0.975	35.000	1.000	1.000	Y	0.355
14286	14287	b0140	b0141	ecpD	yadN	TRUE	0.724	98.000	0.500	1.000	Y	0.293
14287	14288	b0141	b0142	yadN	folK	FALSE	0.001	370.000	0.000	1.000	N	0.057
14288	14289	b0142	b0143	folK	pcnB	TRUE	0.986	-3.000	0.234	1.000	N	0.578
14289	14290	b0143	b0144	pcnB	yadB	TRUE	0.790	60.000	0.131	1.000	Y	0.390
14290	14291	b0144	b0145	yadB	dksA	TRUE	0.834	37.000	0.231	1.000	N	0.401
14291	14292	b0145	b0146	dksA	sfsA	FALSE	0.431	178.000	0.151	NA		0.585
14292	14293	b0146	b0147	sfsA	yadP	FALSE	0.133	15.000	0.045	NA		-0.156
14294	14295	b0148	b0149	hrpB	mrcB	FALSE	0.068	196.000	0.158	1.000	N	0.231
14295	14296	b0149	b0150	mrcB	fhuA	FALSE	0.002	220.000	0.000	1.000	N	0.084
14296	14297	b0150	b0151	fhuA	fhuC	TRUE	0.932	51.000	0.156	1.000	Y	0.524
14297	14298	b0151	b0152	fhuC	fhuD	TRUE	0.994	0.000	0.031	1.000	Y	0.691
14298	14299	b0152	b0153	fhuD	fhuB	TRUE	0.988	-3.000	0.000	1.000	Y	0.534
14301	14302	b0155	b0156	clcA	yadR	FALSE	0.083	82.000	0.031	NA		0.269
14303	14304	b0157	b0158	yadS	btuF	FALSE	0.451	38.000	0.213	NA		0.152
14304	14305	b0158	b0159	btuF	pfs	TRUE	0.886	-7.000	0.073	1.000	N	0.380
14306	14307	b0160	b0161	dgt	degP	FALSE	0.045	130.000	0.101	1.000	N	0.173
14307	14308	b0161	b0162	degP	yaeG	FALSE	0.004	155.000	0.080	NA	N	0.104
14309	14310	b0163	b0164	yaeH	yaeI	FALSE	0.004	162.000	0.000	NA		0.035
14310	14312	b0164	b0166	yaeI	dapD	FALSE	0.023	54.000	0.000	1.000		-0.137
14312	14313	b0166	b0167	dapD	glnD	FALSE	0.057	31.000	0.097	1.000	N	0.092
14313	14314	b0167	b0168	glnD	map	FALSE	0.563	62.000	0.243	1.000	N	0.343
1936221	14315	b4414	b0169	tff	rpsB	TRUE	0.957	27.000	0.000	NA		0.931
14315	14316	b0169	b0170	rpsB	tsf	TRUE	0.834	258.000	0.748	1.000	Y	0.813
14316	14317	b0170	b0171	tsf	pyrH	TRUE	0.786	147.000	0.416	1.000	N	0.867
14317	14318	b0171	b0172	pyrH	frr	FALSE	0.564	292.000	0.626	1.000	N	0.680
14318	14319	b0172	b0173	frr	dxr	FALSE	0.135	92.000	0.032	1.000	N	0.309
14319	14320	b0173	b0174	dxr	ispU	FALSE	0.428	186.000	0.025	1.000	Y	0.461
14320	14321	b0174	b0175	ispU	cdsA	TRUE	0.996	13.000	0.400	1.000	Y	0.690
14321	14322	b0175	b0176	cdsA	yaeL	TRUE	0.980	12.000	0.080	1.000	N	0.659
14322	14323	b0176	b0177	yaeL	yaeT	TRUE	0.986	30.000	0.204	1.000	Y	0.776
14323	14324	b0177	b0178	yaeT	hlpA	TRUE	0.876	122.000	0.354	1.000	Y	0.636
14324	14325	b0178	b0179	hlpA	lpxD	TRUE	0.999	4.000	0.814	1.000	Y	0.699
14325	14326	b0179	b0180	lpxD	fabZ	TRUE	0.887	105.000	0.796	1.000	N	0.715
14326	14327	b0180	b0181	fabZ	lpxA	TRUE	0.997	4.000	0.850	1.000	N	0.799
14327	14328	b0181	b0182	lpxA	lpxB	TRUE	0.994	0.000	0.289	1.000	Y	0.497
14328	14329	b0182	b0183	lpxB	rnhB	TRUE	0.985	-3.000	0.186	1.000	N	0.603
14329	14330	b0183	b0184	rnhB	dnaE	TRUE	0.968	37.000	0.104	1.000	Y	0.649
14330	14331	b0184	b0185	dnaE	accA	TRUE	0.976	13.000	0.122	1.000	N	0.592
14331	14332	b0185	b0186	accA	ldcC	FALSE	0.008	99.000	0.010	1.000	N	-0.413
14332	14333	b0186	b0187	ldcC	yaeR	TRUE	0.886	57.000	0.039	1.000	Y	0.542
14333	14334	b0187	b0188	yaeR	tilS	FALSE	0.014	65.000	0.015	1.000	N	-0.044
14335	1936225	b0189	b4406	yaeO	yaeP	TRUE	0.983	-7.000	0.179	NA		0.739
14336	14337	b0190	b0191	yaeQ	yaeJ	TRUE	0.948	-3.000	0.034	1.000		0.448
14337	14338	b0191	b0192	yaeJ	nlpE	TRUE	0.900	14.000	0.027	NA		0.423
14339	14340	b0193	b0194	yaeF	proS	FALSE	0.023	54.000	0.002	NA		-0.098
14340	14341	b0194	b0195	proS	yaeB	FALSE	0.006	112.000	0.048	NA		0.155
14341	14342	b0195	b0196	yaeB	rcsF	TRUE	0.814	-3.000	0.247	NA		0.111
14342	14343	b0196	b0197	rcsF	metQ	FALSE	0.417	118.000	0.500	NA		0.299
14343	14344	b0197	b0198	metQ	metI	TRUE	0.989	40.000	0.411	0.070	Y	0.775
14344	14345	b0198	b0199	metI	metN	TRUE	0.997	-7.000	0.584	1.000	Y	0.811
14346	1936227	b0200	b0201	gmhB	rrsH	FALSE	0.001	363.000	0.000	NA		-0.025
1936227	1936228	b0201	b0202	rrsH	ileV	FALSE	0.226	69.000	0.000	NA		NA
1936228	1936229	b0202	b0203	ileV	alaV	FALSE	0.444	43.000	0.000	NA		NA
1936229	1936230	b0203	b0204	alaV	rrlH	FALSE	0.065	184.000	0.000	NA		NA
1936230	1936231	b0204	b0205	rrlH	rrfH	FALSE	0.154	94.000	0.000	NA		NA
1936231	1936232	b0205	b0206	rrfH	aspU	FALSE	0.355	53.000	0.000	NA		NA
1936232	14347	b0206	b0207	aspU	dkgB	FALSE	0.080	163.000	0.000	NA		NA
14349	14350	b0209	b0210	yafD	yafE	TRUE	0.975	4.000	0.066	NA		0.533
14351	14352	b0211	b0212	mltD	gloB	FALSE	0.119	72.000	0.233	1.000		-0.103
14355	1936234	b0215	b0216	dnaQ	aspV	FALSE	0.108	133.000	0.000	NA		NA
1936234	14356	b0216	b0217	aspV	yafT	FALSE	0.028	328.000	0.000	NA		NA
3446138	14357	b4586	b0218	ykfM	yafU	TRUE	0.982	10.000	0.000	NA		0.708
14361	14362	b0222	b0223	lpcA	yafJ	FALSE	0.147	206.000	0.229	1.000		0.321
14363	14364	b0224	b0225	yafK	yafQ	FALSE	0.074	156.000	0.000	NA		0.318
14364	14365	b0225	b0226	yafQ	dinJ	TRUE	0.977	3.000	0.167	NA		0.475
14366	14367	b0227	b0228	yafL	yafM	FALSE	0.003	176.000	0.000	NA	N	0.083
14369	14370	b0230	b0231	mbhA	dinB	FALSE	0.012	71.000	0.000	NA		0.106
14370	14371	b0231	b0232	dinB	yafN	TRUE	0.800	52.000	0.000	NA	N	0.587
14371	14372	b0232	b0233	yafN	yafO	TRUE	0.990	3.000	0.500	NA		0.488
14372	14373	b0233	b0234	yafO	yafP	TRUE	0.948	10.000	0.000	NA		0.450
14373	14374	b0234	b0235	yafP	ykfJ	FALSE	0.088	318.000	0.000	NA		0.446
14374	14375	b0235	b0236	ykfJ	prfH	TRUE	0.930	17.000	0.000	NA		0.492
14377	14378	b0238	b0239	gpt	frsA	FALSE	0.008	92.000	0.040	NA		0.036
14378	14379	b0239	b0240	frsA	crl	FALSE	0.019	58.000	0.048	NA		0.098
14381	14382	b0242	b0243	proB	proA	TRUE	0.994	12.000	0.026	0.001	Y	0.612
14382	1936238	b0243	b0244	proA	thrW	FALSE	0.408	115.000	0.000	NA		0.507
3446140	14383	b4626	b0245	ykfN	ykfI	FALSE	0.012	116.000	0.000	NA		0.208
14383	14384	b0245	b0246	ykfI	yafW	TRUE	0.960	21.000	0.667	NA		0.377
14384	1936239	b0246	b4504	yafW	ykfH	TRUE	0.965	19.000	0.000	NA		0.728
1936239	14385	b4504	b0247	ykfH	ykfG	TRUE	0.979	9.000	0.000	NA		0.619
14385	14386	b0247	b0248	ykfG	yafX	FALSE	0.465	16.000	0.000	NA		0.240
14386	14387	b0248	b0249	yafX	ykfF	FALSE	0.472	98.000	0.000	NA		0.515
14387	14388	b0249	b0250	ykfF	ykfB	FALSE	0.117	77.000	0.000	NA		0.280
14388	14389	b0250	b0251	ykfB	yafY	TRUE	0.901	23.000	0.000	NA		0.489
14389	3446142	b0251	b4627	yafY	ykfL	TRUE	0.865	0.000	0.000	NA		NA
3446142	3446144	b4627	b4628	ykfL	ykfK	TRUE	0.867	2.000	0.000	NA		NA
3446144	14390	b4628	b0252	ykfK	yafZ	FALSE	0.304	217.000	0.000	NA		0.640
14390	14391	b0252	b0253	yafZ	ykfA	FALSE	0.232	92.000	0.000	NA		0.379
14391	14392	b0253	b0254	ykfA	perR	FALSE	0.094	329.000	0.000	0.054		0.388
3446146	14394	b4587	b0256	insN	insI-1	FALSE	0.232	68.000	0.000	NA		NA
14394	7497339	b0256	b4690	insI-1	eyeA	FALSE	0.018	826.000	0.000	NA		NA
7497339	14396	b4690	b0258	eyeA	ykfC	FALSE	0.060	193.000	0.000	NA		NA
14398	14399	b0260	b0261	ykfD	mmuM	TRUE	0.932	-13.000	0.147	1.000	Y	0.222
14400	14401	b0262	b0263	afuC	afuB	TRUE	0.888	12.000	0.000	NA		0.389
14401	14402	b0263	b0264	afuB	insB-2	FALSE	0.116	17.000	0.000	NA		0.188
14402	14403	b0264	b0265	insB-2	insA-2	TRUE	0.989	-81.000	0.000	0.015	Y	0.685
14403	1936246	b0265	b4505	insA-2	insX	FALSE	0.104	239.000	0.000	0.015		NA
1936246	14404	b4505	b0266	insX	yagB	TRUE	0.626	65.000	0.000	NA		0.511
14404	14405	b0266	b0267	yagB	yagA	FALSE	0.008	94.000	0.000	NA		0.104
14406	14407	b0268	b0269	yagE	yagF	TRUE	0.995	15.000	0.750	0.064	Y	0.440
14407	14408	b0269	b0270	yagF	yagG	FALSE	0.272	227.000	0.000	1.000	Y	0.409
14408	14409	b0270	b0271	yagG	yagH	TRUE	0.992	12.000	0.273	1.000	Y	0.513
14410	14411	b0272	b0273	yagI	argF	FALSE	0.485	139.000	0.375	1.000	N	0.417
14412	14413	b0274	b0275	insB-3	insA-3	TRUE	0.988	-81.000	0.000	0.015	Y	0.676
14415	14416	b0277	b0278	yagK	yagL	FALSE	0.094	272.000	0.000	NA		0.432
14416	14417	b0278	b0279	yagL	yagM	TRUE	0.898	27.000	0.000	NA		0.521
14417	14418	b0279	b0280	yagM	yagN	FALSE	0.001	340.000	0.000	NA		-0.161
14418	14419	b0280	b0281	yagN	intF	FALSE	0.247	117.000	0.000	NA		0.416
7497341	7497342	b4694	b4695	yagP	ykgT	TRUE	0.800	-5.000	0.000	NA		NA
7497342	14421	b4695	b0283	ykgT	yagQ	TRUE	0.720	-21.000	0.000	NA		NA
14421	14422	b0283	b0284	yagQ	yagR	TRUE	0.971	10.000	0.111	NA	N	0.498
14422	14423	b0284	b0285	yagR	yagS	TRUE	0.999	-3.000	0.917	0.001	Y	0.656
14423	14424	b0285	b0286	yagS	yagT	TRUE	0.998	-3.000	0.705	0.068	Y	0.636
14426	14427	b0288	b0289	ykgJ	yagV	FALSE	0.039	313.000	0.000	NA		0.359
14427	14428	b0289	b0290	yagV	yagW	TRUE	0.962	-31.000	0.286	NA		0.503
14428	14429	b0290	b0291	yagW	yagX	TRUE	0.950	-10.000	0.000	NA		0.555
14429	14430	b0291	b0292	yagX	yagY	TRUE	0.969	26.000	0.308	NA		0.626
14430	14431	b0292	b0293	yagY	yagZ	TRUE	0.873	58.000	0.385	NA		0.541
14431	14432	b0293	b0294	yagZ	ykgK	TRUE	0.592	75.000	0.400	NA		0.358
1936249	14434	b4506	b0296	ykgO	ykgM	TRUE	0.992	0.000	0.004	0.015		0.875
14434	7497343	b0296	b4671	ykgM	ykgR	FALSE	0.025	364.000	0.000	NA		NA
7497343	3446150	b4671	b4630	ykgR	ykgP	FALSE	0.020	474.000	0.000	NA		NA
14435	14436	b0297	b0298	eaeH	insE	FALSE	0.057	63.000	0.000	NA		0.223
14436	14437	b0298	b0299	insE	insF-1	TRUE	0.893	-3.000	0.000	0.072		0.278
14439	14441	b0301	b0303	ykgB	ykgI	TRUE	0.859	12.000	0.043	NA		0.357
14441	14442	b0303	b0304	ykgI	ykgC	FALSE	0.538	109.000	0.667	NA		0.315
14443	14444	b0305	b0306	ykgD	ykgE	FALSE	0.001	527.000	0.000	NA	N	0.168
14444	14445	b0306	b0307	ykgE	ykgF	TRUE	0.993	11.000	0.286	NA	Y	0.528
14445	14446	b0307	b0308	ykgF	ykgG	TRUE	0.986	-7.000	0.286	0.001		0.482
14448	14449	b0310	b0311	ykgH	betA	FALSE	0.051	213.000	0.000	NA		0.333
14449	14450	b0311	b0312	betA	betB	TRUE	0.991	14.000	0.634	1.000	N	0.569
14450	14451	b0312	b0313	betB	betI	TRUE	0.991	14.000	0.459	1.000	N	0.676
14452	14453	b0314	b0315	betT	yahA	FALSE	0.001	875.000	0.000	1.000	N	0.069
14454	14455	b0316	b0317	yahB	yahC	FALSE	0.008	92.000	0.000	NA		0.120
14456	14457	b0318	b0319	yahD	yahE	TRUE	0.732	40.000	0.667	NA		0.008
14457	14458	b0319	b0320	yahE	yahF	TRUE	0.915	-10.000	0.429	NA		0.242
14458	14459	b0320	b0321	yahF	yahG	TRUE	0.975	0.000	0.714	NA		0.237
14459	14461	b0321	b0323	yahG	yahI	FALSE	0.039	422.000	0.125	NA		0.332
14461	14462	b0323	b0324	yahI	yahJ	TRUE	0.866	10.000	0.278	1.000	N	0.115
14462	14463	b0324	b0325	yahJ	yahK	FALSE	0.001	377.000	0.000	1.000		-0.041
14463	14464	b0325	b0326	yahK	yahL	FALSE	0.002	243.000	0.000	NA		0.093
14464	14465	b0326	b0327	yahL	yahM	FALSE	0.018	413.000	0.000	NA		0.314
14469	14471	b0331	b0333	prpB	prpC	FALSE	0.436	440.000	0.502	1.000	N	0.758
14471	14472	b0333	b0334	prpC	prpD	TRUE	0.963	34.000	0.216	1.000		0.806
14472	14473	b0334	b0335	prpD	prpE	TRUE	0.951	40.000	0.038	0.001		0.749
14473	14474	b0335	b0336	prpE	codB	FALSE	0.001	330.000	0.000	1.000	N	0.022
14474	14475	b0336	b0337	codB	codA	TRUE	0.994	-10.000	0.250	1.000	Y	0.823
14477	14478	b0339	b0340	cynT	cynS	TRUE	0.952	31.000	0.075	1.000	Y	0.484
14478	14479	b0340	b0341	cynS	cynX	TRUE	0.949	33.000	0.000	1.000	Y	0.510
14480	14481	b0342	b0343	lacA	lacY	TRUE	0.862	66.000	0.222	1.000		0.724
14481	14482	b0343	b0344	lacY	lacZ	TRUE	0.886	52.000	0.261	1.000		0.554
14482	14483	b0344	b0345	lacZ	lacI	FALSE	0.023	123.000	0.174	1.000	N	-0.034
14483	14484	b0345	b0346	lacI	mhpR	FALSE	0.547	77.000	0.000	0.054	Y	0.215
14485	14486	b0347	b0348	mhpA	mhpB	TRUE	0.988	2.000	0.333	0.007		0.416
14486	14487	b0348	b0349	mhpB	mhpC	TRUE	0.985	3.000	0.300	0.007		0.402
14487	14488	b0349	b0350	mhpC	mhpD	TRUE	0.985	10.000	0.300	0.007		0.426
14488	14489	b0350	b0351	mhpD	mhpF	TRUE	0.995	-3.000	0.444	1.000	Y	0.493
14489	14490	b0351	b0352	mhpF	mhpE	TRUE	0.991	-3.000	0.750	1.000	N	0.473
14490	14491	b0352	b0353	mhpE	mhpT	FALSE	0.154	578.000	0.600	1.000	N	0.371
14491	14492	b0353	b0354	mhpT	yaiL	FALSE	0.007	102.000	0.000	NA		-0.085
14493	14494	b0355	b0356	frmB	frmA	TRUE	0.814	94.000	0.327	1.000		0.706
14494	14495	b0356	b0357	frmA	yaiN	TRUE	0.979	35.000	0.531	NA		0.877
14495	14496	b0357	b0358	yaiN	yaiO	FALSE	0.003	188.000	0.000	NA		-0.025
14496	1936264	b0358	b4579	yaiO	yaiX	TRUE	0.983	2.000	0.000	NA		0.651
14498	14499	b0360	b0361	insC	insD-1	TRUE	0.986	-42.000	0.000	0.072	Y	0.605
14501	14502	b0363	b0364	yaiP	yaiS	TRUE	0.619	124.000	0.214	NA		0.584
14503	14504	b0365	b0366	tauA	tauB	TRUE	0.989	13.000	0.047	1.000	Y	0.625
14504	14505	b0366	b0367	tauB	tauC	TRUE	0.997	-3.000	0.728	1.000	Y	0.546
14505	14506	b0367	b0368	tauC	tauD	TRUE	0.987	-3.000	0.214	1.000	N	0.612
14510	14511	b0372	b0373	insF-2	insE	TRUE	0.985	-3.000	0.000	0.071		0.624
14515	14516	b0377	b0378	sbmA	yaiW	TRUE	0.949	13.000	0.000	1.000		0.481
14520	14521	b0382	b0383	yaiB	phoA	FALSE	0.125	101.000	0.032	NA		0.319
14521	14522	b0383	b0384	phoA	psiF	FALSE	0.006	119.000	0.032	NA		0.148
14522	14523	b0384	b0385	psiF	yaiC	FALSE	0.198	102.000	0.250	NA		0.202
14525	14526	b0387	b0388	yaiI	aroL	FALSE	0.003	183.000	0.007	NA		0.163
14526	14527	b0388	b0389	aroL	yaiA	FALSE	0.283	50.000	0.044	NA		0.282
14527	14528	b0389	b0390	yaiA	aroM	FALSE	0.162	258.000	0.000	NA		0.506
14528	14529	b0390	b0391	aroM	yaiE	FALSE	0.108	72.000	0.049	NA		0.255
14529	14530	b0391	b0392	yaiE	ykiA	FALSE	0.003	208.000	0.000	NA		0.202
14534	14535	b0396	b0397	araJ	sbcC	FALSE	0.006	126.000	0.030	1.000	N	0.072
14535	14536	b0397	b0398	sbcC	sbcD	TRUE	0.990	-3.000	0.021	0.001	Y	0.458
14537	14538	b0399	b0400	phoB	phoR	TRUE	0.979	58.000	0.453	0.017	Y	0.724
